precision: 6.93	recall: 0.53	FB1: 0.99	accuracy: 78.58
precision: 00.00	recall: 00.00	FB1: 00.00	LOCAL_OUTRO
precision: 00.00	recall: 00.00	FB1: 00.00	ACONTECIMENTO_ORGANIZADO
precision: 00.00	recall: 00.00	FB1: 00.00	ORGANIZACAO_ADMINISTRACAO
precision: 07.08	recall: 00.64	FB1: 01.17	TEMPO_TEMPO_CALEND
precision: 00.00	recall: 00.00	FB1: 00.00	OBRA_ARTE
precision: 00.00	recall: 00.00	FB1: 00.00	TEMPO_FREQUENCIA
precision: 00.00	recall: 00.00	FB1: 00.00	COISA_OBJECTO
precision: 08.33	recall: 00.27	FB1: 00.52	PESSOA_INDIVIDUAL
precision: 00.00	recall: 00.00	FB1: 00.00	LOCAL_FISICO
precision: 65.50	recall: 02.08	FB1: 04.01	LOCAL_HUMANO
precision: 00.00	recall: 00.00	FB1: 00.00	ORGANIZACAO_INSTITUICAO
precision: 00.00	recall: 00.00	FB1: 00.00	OBRA_REPRODUZIDA
precision: 00.00	recall: 00.00	FB1: 00.00	TEMPO_GENERICO
precision: 00.00	recall: 00.00	FB1: 00.00	PESSOA_GRUPOIND
precision: 00.00	recall: 00.00	FB1: 00.00	COISA_CLASSE
precision: 00.00	recall: 00.00	FB1: 00.00	ACONTECIMENTO_EVENTO
precision: 00.00	recall: 00.00	FB1: 00.00	ABSTRACCAO_NOME
precision: 00.00	recall: 00.00	FB1: 00.00	PESSOA_MEMBRO
precision: 00.00	recall: 00.00	FB1: 00.00	PESSOA_POVO
precision: 00.00	recall: 00.00	FB1: 00.00	LOCAL_VIRTUAL
precision: 00.00	recall: 00.00	FB1: 00.00	PESSOA_GRUPOMEMBRO
precision: 00.00	recall: 00.00	FB1: 00.00	ABSTRACCAO_DISCIPLINA
precision: 00.00	recall: 00.00	FB1: 00.00	TEMPO_DURACAO
precision: 00.00	recall: 00.00	FB1: 00.00	PESSOA_GRUPOCARGO
precision: 00.00	recall: 00.00	FB1: 00.00	COISA_MEMBROCLASSE
precision: 00.00	recall: 00.00	FB1: 00.00	VALOR_QUANTIDADE
precision: 00.00	recall: 00.00	FB1: 00.00	ABSTRACCAO_ESTADO
precision: 00.00	recall: 00.00	FB1: 00.00	VALOR_MOEDA
precision: 00.00	recall: 00.00	FB1: 00.00	ACONTECIMENTO_EFEMERIDE
precision: 00.00	recall: 00.00	FB1: 00.00	VALOR_CLASSIFICACAO
precision: 00.00	recall: 00.00	FB1: 00.00	ABSTRACCAO_IDEIA
precision: 00.00	recall: 00.00	FB1: 00.00	ORGANIZACAO_EMPRESA
precision: 00.85	recall: 20.00	FB1: 01.63	COISA_SUBSTANCIA
precision: 00.00	recall: 00.00	FB1: 00.00	OBRA_PLANO
precision: 00.00	recall: 00.00	FB1: 00.00	PESSOA_CARGO
